Hoja1: Table 1,,,,,
ITEM1_DESC,SIZE_DESC,Departamento,Precio Estimado,,
Waffle de Miel,N/A,N/A,"5,900",,
Crepe de Arequipe Flambé,N/A,N/A,"8,500",,
Juego de Mandarina,N/A,N/A,"6,200",,
Milo,N/A,N/A,"5,300",,
Milo,N/A,N/A,"5,300",,
Matcha Latte,N/A,N/A,"9,500",,
Chai,N/A,N/A,"4,800",,
Crepe de Calamares al Curry,N/A,N/A,"19,900",,
Crepe de Calamares al Ajillo,N/A,N/A,"19,900",,
Crepe de Palmitos al Ajillo,N/A,N/A,"17,900",,
Crepe de Palmitos al Curry,N/A,N/A,"17,900",,
Crepe Espinaca con Queso y Salsa de Espárragos,N/A,N/A,"14,800",,
Crepe Espinaca con Queso y Salsa de Champiñones,N/A,N/A,"14,800",,
Helado Arte-Sano 1.5lt Vegano,N/A,N/A,"40,900",,
Helado Arte-Sano 800ml Vegano,N/A,N/A,"30,900",,
