Hoja1: Table 1,,,,,
ITEM1_DESC,SIZE_DESC,Departamento,Precio Estimado,,
Suplemento alimenticio Ensure  bebible sabor chocolate 237 ml,237ML,Farmacia Autoservicio,39.9,,
Suplemento alimenticio Ensure  bebible sabor vainilla 237 ml,237ML,Farmacia Autoservicio,39.9,,
Naranja valencia por kilo,KILO,Frutas Y Verduras,17.5,,
Papaya maradol por kilo,KILO,Frutas Y Verduras,19.9,,
Plátano Chiapas por kg,KILO,Frutas Y Verduras,15.9,,
Manzana red delicious por kilo,KILO,Frutas Y Verduras,37.9,,
Fresas 454 g,PIEZA,Frutas Y Verduras,45,,
Limón sin semilla por kg,KILO,Frutas Y Verduras,27.5,,
Melón chino por kilo,KILO,Frutas Y Verduras,17.5,,
Lechuga romana por pieza,PIEZA,Frutas Y Verduras,8.9,,
Pepino por kilo,KILO,Frutas Y Verduras,13.9,,
Calabaza japonesa por kilo,KILO,Frutas Y Verduras,21.9,,
Papa blanca alfa por kilo,KILO,Frutas Y Verduras,27.9,,
Jitomate saladet por kilo,KILO,Frutas Y Verduras,44.9,,
Zanahoria por kilo,KILO,Frutas Y Verduras,10.5,,
Manzana gala por kilo,KILO,Frutas Y Verduras,39.9,,
Manzana perón golden Chavalinas  1.36 kg aprox,KILO,Frutas Y Verduras,32.9,,
"Manzana red delicious en bolsa de 1.36 kilos aproximado, precio por kilo",KILO,Frutas Y Verduras,34.9,,
"Manzana gala en bolsa 1.36 kilos aproximado, precio por kilo",KILO,Frutas Y Verduras,34.9,,
Aguacate hass por kilo,KILO,Frutas Y Verduras,59,,
Limón agrio por kilo,KILO,Frutas Y Verduras,27.5,,
Piña miel por kilo,KILO,Frutas Y Verduras,13.9,,
Ajos Valle Alto  3 piezas,PIEZA,Frutas Y Verduras,18.9,,
Cebolla blanca por kilo,KILO,Frutas Y Verduras,11.9,,
Tomate verde sin cáscara por kilo,KILO,Frutas Y Verduras,24.9,,
Cilantro por pieza,PIEZA,Frutas Y Verduras,6.9,,
Jícama por kilo,KILO,Frutas Y Verduras,12.9,,
Jitomate bola  por kg,KILO,Frutas Y Verduras,32.9,,
Sandía roja por kilo,KILO,Frutas Y Verduras,7.9,,
Toronja por kilo,KILO,Frutas Y Verduras,19.5,,
Espinaca Vegetalistos  200 g,PIEZA,Frutas Y Verduras,28.9,,
Champiñones por kilo,KILO,Frutas Y Verduras,74,,
Leche Lala  entera 1 l,1 LT,Lácteos,20.5,,
Leche Lala  light baja en grasa 1 l,1 LT,Lácteos,20.5,,
Leche Lala  deslactosada 1 l,1 LT,Lácteos,21.9,,
Leche Lala  deslactosada light baja en grasa 1 l,1 LT,Lácteos,21.9,,
Bebida láctea fermentada Lala Bio 4 sabor natural 5 pzas 120 g c/u,5 PACK,Lácteos,31.5,,
Producto lácteo Nutri  1 l,1 LT,Lácteos,16.5,,
Producto lácteo Nutri  deslactosado 1 l,1 LT,Lácteos,16.5,,
Producto lácteo Nutri  1.5 l,1.5 LT,Lácteos,22.5,,
Leche Lala  deslactosada caja con 6 pzas de 1 l c/u,6 PACK,Lácteos,109,,
Flan Danette  sabor vainilla 6 pzas de 100 g c/u,6 PACK,Lácteos,29,,
Leche Santa Clara  entera 6 pack de 1 l c/u,6 PACK,Lácteos,115,,
Leche Santa Clara  deslactosada 6 pack de 1 l c/u,6 PACK,Lácteos,115,,
Leche Alpura Clásica entera 1 l,1 LT,Lácteos,20.5,,
Leche Alpura Semi 1 l,1 LT,Lácteos,20.8,,
Leche Alpura light 1 l,1 LT,Lácteos,20.8,,
Leche Alpura  deslactosada 1 l,1 LT,Lácteos,20.5,,
Producto lácteo Forti Leche 7 Plus 1 l,1 LT,Lácteos,15,,
Leche Alpura  deslactosada light 1 l,1 LT,Lácteos,20.5,,
Crema Alpura  ácida regular 200 ml,200 GR,Lácteos,12.4,,
Crema Alpura  ácida regular 450 ml,450 GR,Lácteos,26.2,,
Crema Alpura  ácida regular 900 ml,900 GR,Lácteos,53,,
Producto lácteo Forti Leche 7 Plus 1.5 l,1.5 LT,Lácteos,21.5,,
Producto lácteo Forti Leche  deslactosada 1.5 l,1.5 LT,Lácteos,21.5,,
Leche Alpura Clásica entera 1.5 l,1.5 LT,Lácteos,28.8,,
Leche Alpura  deslactosada 1.5 l,1.5 LT,Lácteos,28.8,,
Leche Santa Clara  entera 1 l,1 LT,Lácteos,21.5,,
Leche Santa Clara  deslactosada 1 l,1 LT,Lácteos,23,,
PRODUCTO LACTEO COMBINADO AU 1.5L,1.5 LT,Lácteos,15.9,,
Producto lácteo combinado Aurrera  1 L,1 LT,Lácteos,11.9,,
Margarina Iberia  sin sal 245 g,245 GR,Lácteos,25.4,,
Leche Alpura  deslactosada light 1.5 l,1.5 LT,Lácteos,28.8,,
Huevo blanco Aurrera  12 pzas,12 PZ,Lácteos,26.5,,
Leche Lala  entera 1.5 l,1.5 LT,Lácteos,28,,
Leche Lala  entera caja con 6 pzas de 1 l c/u,6 PACK,Lácteos,109,,
Leche Lala  100 sin lactosa light +proteína 1 l,1 LT,Lácteos,24.5,,
Huevo blanco Aurrera  18 pzas,18 PZ,Lácteos,40,,
Leche fresca Lala  entera pasteurizada 3.78 l,1 GAL,Lácteos,64,,
Leche fresca Lala  entera 1.8 l,1.8 LT,Lácteos,31.9,,
Leche Lala  deslactosada light baja en grasa caja con 6 pzas de 1 l c/u,6 PACK,Lácteos,109,,
Yoghurt batido Alpura  con fresa 1 kg,1 KG,Lácteos,33.4,,
Yoghurt bebible Alpura  varios sabores 10 pack de 250 g c/u,10PACK,Lácteos,78,,
Yoghurt bebible Danone  fresa y fresa moras 8 piezas de 220 c/u,8 PACK,Lácteos,54.5,,
Leche Alpura Vaquitas sabor chocolate 190 ml,190 ML,Lácteos,5,,
Leche Alpura Vaquitas sabor fresa 190 ml,190 ML,Lácteos,5,,
Mantequilla sin sal Chipilo  en barra 225 g,225 GR,Lácteos,39.9,,
Yoghurt bebible Alpura  con manzana 250 g,250 GR,Lácteos,8.8,,
Leche Alpura Selecta 1 l,1 LT,Lácteos,21.5,,
Crema Alpura  deslactosada 450 ml,450 GR,Lácteos,28.8,,
Mantequilla Great Value  reducida en grasa sin sal 225 g,225 GR,Lácteos,35.9,,
Leche Great Value  entera 1 l,1 LT,Lácteos,16.3,,
Leche Great Value  deslactosada entera 1 l,1 LT,Lácteos,16.8,,
Yoghurt Danone  frutas selectas con trozos de fresa y moras 900 g,900 GR,Lácteos,33.2,,
Yoghurt Yoplait  natural con granola 1 kg,1 KG,Lácteos,35.8,,
Yoghurt batido Alpura  natural 900 g,900 GR,Lácteos,33.4,,
Claras de huevo San Juan  líquidas pasteurizadas 1 kg,1 LT,Lácteos,43,,
Leche Alpura Vaquitas sabor vainilla 190 ml,190 ML,Lácteos,5,,
Mantequilla sin sal Gloria  en barra 90 g,90 GR,Lácteos,18.5,,
Mantequilla sin sal Chipilo  en barra 90 g,90 GR,Lácteos,18,,
Yoghurt Lala Griego sabor natural 120 g,120 GR,Lácteos,10.5,,
Blanqueador Cloralex El Rendidor 950 ml,950 ML,Limpieza y hogar,13.9,,
Blanqueador Cloralex El Rendidor 2 l,2 L,Limpieza y hogar,24,,
Blanqueador Cloralex El Rendidor 3.75 l,3.75 L,Limpieza y hogar,42.5,,
Detergente en polvo Bold 3  para ropa cariñitos de mamá 850 g,850 GR,Limpieza y hogar,20,,
Lavatrastes en polvo Salvo  limón 720 g,720GRS,Limpieza y hogar,20.9,,
Suavizante acondicionador de telas Downy  aroma floral 1.4 l,1.4 LT,Limpieza y hogar,44.9,,
Suavizante acondicionador de telas Downy  brisa fresca 1.4 l,1.4 LT,Limpieza y hogar,44.9,,
Detergente en polvo Ace  800 g,800 GR,Limpieza y hogar,20,,
